,y_train,y_train_pred,y_dev,y_dev_pred,y_test,y_test_pred
2016-02-16,127.0,140.66174871064624,,,,
2016-02-17,95.0,135.91361673369818,,,,
2016-02-18,120.0,126.32890759617871,,,,
2016-02-19,180.0,155.67743656376877,,,,
2016-02-20,117.0,119.02133235876406,,,,
2016-02-21,117.0,131.73042476680882,,,,
2016-02-22,140.0,143.26373732059452,,,,
2016-02-23,142.0,139.19903007764603,,,,
2016-02-24,127.0,127.74118889529947,,,,
2016-02-25,123.0,122.1082259476277,,,,
2016-02-26,163.0,157.20360490721882,,,,
2016-02-27,112.0,127.42511891083966,,,,
2016-02-28,127.0,132.21152553425327,,,,
2016-02-29,131.0,138.4307645448235,,,,
2016-03-01,128.0,130.19472829824375,,,,
2016-03-02,115.0,129.19575311769563,,,,
2016-03-03,129.0,124.0054940156761,,,,
2016-03-04,177.0,158.98078103948876,,,,
2016-03-05,116.0,122.87384097883283,,,,
2016-03-06,139.0,129.02522404808434,,,,
2016-03-07,141.0,145.04698182864118,,,,
2016-03-08,163.0,138.87177002791944,,,,
2016-03-09,122.0,131.0191999371007,,,,
2016-03-10,133.0,120.42011149180647,,,,
2016-03-11,139.0,159.60799096477297,,,,
2016-03-12,131.0,122.50780303425111,,,,
2016-03-13,137.0,139.7775105276454,,,,
2016-03-14,154.0,141.0271128253767,,,,
2016-03-15,126.0,132.89164612663842,,,,
2016-03-16,132.0,121.96177617194141,,,,
2016-03-17,140.0,129.58033816291103,,,,
2016-03-18,181.0,165.67039161099837,,,,
2016-03-19,129.0,128.42859982311754,,,,
2016-03-20,142.0,131.67430431287644,,,,
2016-03-21,155.0,141.48900249608096,,,,
2016-03-22,145.0,141.2286559498607,,,,
2016-03-23,142.0,138.2603779760037,,,,
2016-03-24,121.0,134.1741154545152,,,,
2016-03-25,142.0,159.70419088928736,,,,
2016-03-26,119.0,120.77950136746966,,,,
2016-03-27,89.0,129.85683355640447,,,,
2016-03-28,118.0,137.83704587764652,,,,
2016-03-29,156.0,132.57590220614037,,,,
2016-03-30,154.0,129.39988197257202,,,,
2016-03-31,135.0,127.73621561491179,,,,
2016-04-01,202.0,160.1044935484947,,,,
2016-04-02,140.0,128.98032028636732,,,,
2016-04-03,137.0,140.0076946940539,,,,
2016-04-04,151.0,149.19828242838196,,,,
2016-04-05,163.0,145.37908893887555,,,,
2016-04-06,150.0,139.88641313267317,,,,
2016-04-07,125.0,133.25725545847737,,,,
2016-04-08,165.0,161.7742790849649,,,,
2016-04-09,116.0,124.95195535723529,,,,
2016-04-10,156.0,133.94153523695653,,,,
2016-04-11,138.0,147.49205700892765,,,,
2016-04-12,151.0,142.51138667269973,,,,
2016-04-13,130.0,136.8844012599115,,,,
2016-04-14,126.0,128.06991160422433,,,,
2016-04-15,150.0,161.14318469905788,,,,
2016-04-16,123.0,126.03241030526863,,,,
2016-04-17,107.0,135.02977346871018,,,,
2016-04-18,140.0,144.68863504916067,,,,
2016-04-19,128.0,140.83193987820897,,,,
2016-04-20,129.0,130.01460079165562,,,,
2016-04-21,117.0,128.48165359845018,,,,
2016-04-22,162.0,161.99716729029814,,,,
2016-04-23,125.0,119.54865981072913,,,,
2016-04-24,101.0,129.61355885229625,,,,
2016-04-25,135.0,135.1552269726028,,,,
2016-04-26,180.0,139.98303056678392,,,,
2016-04-27,129.0,141.00942455138556,,,,
2016-04-28,127.0,131.79253975442566,,,,
2016-04-29,162.0,158.4713221537679,,,,
2016-04-30,110.0,122.89711372939655,,,,
2016-05-01,144.0,130.88332390605916,,,,
2016-05-02,104.0,147.07602461771526,,,,
2016-05-03,117.0,138.8244407792896,,,,
2016-05-04,140.0,126.7100498118099,,,,
2016-05-05,148.0,119.05425648769275,,,,
2016-05-06,155.0,157.20524472268784,,,,
2016-05-07,124.0,120.03829416744794,,,,
2016-05-08,131.0,131.89267210879518,,,,
2016-05-09,162.0,143.7388629980406,,,,
2016-05-10,167.0,143.99608835671583,,,,
2016-05-11,126.0,136.74963476200531,,,,
2016-05-12,131.0,130.59989488251034,,,,
2016-05-13,155.0,166.32323052682747,,,,
2016-05-14,116.0,120.67297063771076,,,,
2016-05-15,131.0,129.42011205501285,,,,
2016-05-16,147.0,141.625389491129,,,,
2016-05-17,180.0,144.6177828695656,,,,
2016-05-18,120.0,137.54613305408267,,,,
2016-05-19,141.0,128.2540534831902,,,,
2016-05-20,147.0,157.21302879468462,,,,
2016-05-21,117.0,120.17104560046762,,,,
2016-05-22,137.0,135.68346277700806,,,,
2016-05-23,177.0,144.45235381446383,,,,
2016-05-24,118.0,149.46532788274163,,,,
2016-05-25,135.0,129.72384453096893,,,,
2016-05-26,96.0,128.3772083833482,,,,
2016-05-27,166.0,159.52907757766582,,,,
2016-05-28,100.0,126.7822415881815,,,,
2016-05-29,137.0,122.23458063302671,,,,
2016-05-30,160.0,140.74762027986029,,,,
2016-05-31,130.0,141.65116056847447,,,,
2016-06-01,130.0,133.12850973169586,,,,
2016-06-02,128.0,128.75808732729595,,,,
2016-06-03,161.0,159.6606441342308,,,,
2016-06-04,129.0,116.6011263309475,,,,
2016-06-05,158.0,134.45427891490635,,,,
2016-06-06,155.0,155.2845229483332,,,,
2016-06-07,149.0,151.37943667365448,,,,
2016-06-08,127.0,133.90548259672065,,,,
2016-06-09,157.0,125.83074337309417,,,,
2016-06-10,158.0,159.07827578517015,,,,
2016-06-11,127.0,122.47026379973823,,,,
2016-06-12,153.0,139.65769017237457,,,,
2016-06-13,156.0,149.67606391371964,,,,
2016-06-14,139.0,146.03323383451587,,,,
2016-06-15,141.0,132.1050422100127,,,,
2016-06-16,119.0,127.15862086297128,,,,
2016-06-17,156.0,161.38756382744242,,,,
2016-06-18,124.0,125.90610701642687,,,,
2016-06-19,143.0,138.78723070823037,,,,
2016-06-20,145.0,151.29424048381122,,,,
2016-06-21,161.0,145.0525500800621,,,,
2016-06-22,145.0,133.23874063225634,,,,
2016-06-23,156.0,130.39186787858,,,,
2016-06-24,164.0,165.68433312574206,,,,
2016-06-25,102.0,130.5384394304737,,,,
2016-06-26,138.0,139.19590546291712,,,,
2016-06-27,127.0,152.04380914593236,,,,
2016-06-28,159.0,137.9284746887367,,,,
2016-06-29,139.0,130.9809864264388,,,,
2016-06-30,110.0,130.16719248338794,,,,
2016-07-01,179.0,163.73979192101538,,,,
2016-07-02,135.0,128.95921983535348,,,,
2016-07-03,154.0,142.7885194523472,,,,
2016-07-04,139.0,143.83291657157406,,,,
2016-07-05,135.0,144.17947083619362,,,,
2016-07-06,125.0,136.9848897562063,,,,
2016-07-07,102.0,129.85087340069663,,,,
2016-07-08,133.0,158.65998548035722,,,,
2016-07-09,110.0,118.4842059896859,,,,
2016-07-10,133.0,129.39055403990665,,,,
2016-07-11,123.0,144.40548175222875,,,,
2016-07-12,141.0,139.1120499912855,,,,
2016-07-13,133.0,130.35259687736158,,,,
2016-07-14,127.0,128.64396246459268,,,,
2016-07-15,155.0,160.16029046412356,,,,
2016-07-16,114.0,120.9479530688526,,,,
2016-07-17,104.0,132.083333476956,,,,
2016-07-18,148.0,137.06427560653148,,,,
2016-07-19,123.0,143.63638024298217,,,,
2016-07-20,109.0,130.38589775436515,,,,
2016-07-21,117.0,122.7824068776236,,,,
2016-07-22,135.0,150.95534354402758,,,,
2016-07-23,108.0,109.20463379451182,,,,
2016-07-24,137.0,128.16458479049027,,,,
2016-07-25,158.0,140.89645074617445,,,,
2016-07-26,120.0,142.35105923194573,,,,
2016-07-27,109.0,124.9933600465743,,,,
2016-07-28,141.0,115.06865206203358,,,,
2016-07-29,155.0,155.02266154930257,,,,
2016-07-30,128.0,122.47650904091685,,,,
2016-07-31,134.0,135.9387217391517,,,,
2016-08-01,160.0,143.78174304571712,,,,
2016-08-02,135.0,141.41446759930034,,,,
2016-08-03,122.0,121.6134094996139,,,,
2016-08-04,124.0,123.60976181506248,,,,
2016-08-05,149.0,157.1248349566743,,,,
2016-08-06,115.0,118.86258715628811,,,,
2016-08-07,117.0,127.66987476293868,,,,
