date,y_train_xgboost,y_train_pred_xgboost,y_dev_xgboost,y_dev_pred_xgboost,y_test_xgboost,y_test_pred_xgboost,y_train_arima,y_train_pred_arima,y_dev_arima,y_dev_pred_arima,y_test_arima,y_test_pred_arima
2015-05-11,188.0,162.6557,,,,,188.0,162.6557,,,,
2015-05-12,143.0,149.93488,,,,,143.0,149.93488,,,,
2015-05-13,160.0,154.14056,,,,,160.0,154.14056,,,,
2015-05-14,153.0,143.17195,,,,,153.0,143.17195,,,,
2015-05-15,160.0,160.04642,,,,,160.0,160.04642,,,,
2015-05-16,145.0,142.83298,,,,,145.0,142.83298,,,,
2015-05-17,157.0,146.04878,,,,,157.0,146.04878,,,,
2015-05-18,181.0,172.9934,,,,,181.0,172.9934,,,,
2015-05-19,135.0,143.48322,,,,,135.0,143.48322,,,,
2015-05-20,154.0,147.28485,,,,,154.0,147.28485,,,,
2015-05-21,140.0,136.79881,,,,,140.0,136.79881,,,,
2015-05-22,177.0,164.14975,,,,,177.0,164.14975,,,,
2015-05-23,120.0,133.175,,,,,120.0,133.175,,,,
2015-05-24,134.0,131.08963,,,,,134.0,131.08963,,,,
2015-05-25,145.0,154.07591,,,,,145.0,154.07591,,,,
2015-05-26,143.0,139.04324,,,,,143.0,139.04324,,,,
2015-05-27,116.0,136.45297,,,,,116.0,136.45297,,,,
2015-05-28,122.0,131.25902,,,,,122.0,131.25902,,,,
2015-05-29,161.0,159.1479,,,,,161.0,159.1479,,,,
2015-05-30,123.0,128.5573,,,,,123.0,128.5573,,,,
2015-05-31,135.0,135.80339,,,,,135.0,135.80339,,,,
2015-06-01,142.0,152.39119,,,,,142.0,152.39119,,,,
2015-06-02,150.0,140.09517,,,,,150.0,140.09517,,,,
2015-06-03,158.0,143.48338,,,,,158.0,143.48338,,,,
2015-06-04,133.0,130.0158,,,,,133.0,130.0158,,,,
2015-06-05,157.0,159.76926,,,,,157.0,159.76926,,,,
2015-06-06,125.0,138.35768,,,,,125.0,138.35768,,,,
2015-06-07,152.0,146.83374,,,,,152.0,146.83374,,,,
2015-06-08,178.0,165.32115,,,,,178.0,165.32115,,,,
2015-06-09,156.0,143.27405,,,,,156.0,143.27405,,,,
2015-06-10,159.0,152.15215,,,,,159.0,152.15215,,,,
2015-06-11,126.0,138.84714,,,,,126.0,138.84714,,,,
2015-06-12,158.0,160.92113,,,,,158.0,160.92113,,,,
2015-06-13,126.0,131.53296,,,,,126.0,131.53296,,,,
2015-06-14,146.0,145.3135,,,,,146.0,145.3135,,,,
2015-06-15,161.0,152.24141,,,,,161.0,152.24141,,,,
2015-06-16,147.0,149.96329,,,,,147.0,149.96329,,,,
2015-06-17,131.0,146.47894,,,,,131.0,146.47894,,,,
2015-06-18,130.0,132.62032,,,,,130.0,132.62032,,,,
2015-06-19,177.0,163.2762,,,,,177.0,163.2762,,,,
2015-06-20,136.0,124.28931,,,,,136.0,124.28931,,,,
2015-06-21,138.0,138.64323,,,,,138.0,138.64323,,,,
2015-06-22,145.0,146.63745,,,,,145.0,146.63745,,,,
2015-06-23,139.0,142.63443,,,,,139.0,142.63443,,,,
2015-06-24,123.0,132.99622,,,,,123.0,132.99622,,,,
2015-06-25,131.0,129.17805,,,,,131.0,129.17805,,,,
2015-06-26,180.0,158.41853,,,,,180.0,158.41853,,,,
2015-06-27,121.0,122.37758,,,,,121.0,122.37758,,,,
2015-06-28,156.0,145.33156,,,,,156.0,145.33156,,,,
2015-06-29,156.0,147.17754,,,,,156.0,147.17754,,,,
2015-06-30,140.0,143.01866,,,,,140.0,143.01866,,,,
2015-07-01,146.0,143.05768,,,,,146.0,143.05768,,,,
